Tissue,Density [g/cm3],H,C,N,O,Na,Mg,P,S,Cl,K,Ca,Fe,I,Ba
"Male vertebral column exc, cartilage - C4",1.42,6.3,26.1,3.9,43.6,0.1,0.1,6.1,0.3,0.1,0.1,13.3,0,0,0
Femur - total bone,1.42,6.3,33.3,2.9,36.2,0.1,0.1,6.6,0.2,0,0,14.3,0,0,0
Femur - whole specimen,1.43,6.3,33.1,2.9,36.3,0.1,0.1,6.6,0.2,0,0,14.4,0,0,0
Pelvic bones innominate - female,1.46,6,25,3.9,43.5,0.1,0.1,6.6,0.3,0.1,0.1,14.3,0,0,0
Humerus - total bone,1.46,6,31.4,3.1,36.9,0.1,0.1,7,0.2,0,0,15.2,0,0,0
Male shoulder girdle - clavicle,1.46,6,31.3,3.1,37,0.1,0.1,7,0.2,0,0,15.2,0,0,0
Humerus - cylindrical shaft,1.49,5.8,30.1,3.2,37.4,0.1,0.2,7.2,0.2,0,0,15.8,0,0,0
Male ribs - 10th,1.52,5.6,23.5,4,43.4,0.1,0.1,7.2,0.3,0.1,0.1,15.6,0,0,0
Cranium - male and female,1.61,5,21.2,4,43.5,0.1,0.2,8.1,0.3,0,0,17.6,0,0,0
Mandible - male and female,1.68,4.6,19.9,4.1,43.5,0.1,0.2,8.6,0.3,0,0,18.7,0,0,0
Femur - cylindrical shaft,1.75,4.2,20.4,3.8,41.5,0.1,0.2,9.3,0.3,0,0,20.2,0,0,0
Skeletal - cortical bone,1.92,3.4,15.5,4.2,43.5,0.1,0.2,10.3,0.3,0,0,22.5,0,0,0
Water,1.00,11.2,0,0,88.8,0,0,0,0,0,0,0,0,0,0
